ITS Version,URL,Query,Image,Run Time,Result Size (bytes),Error,,,,Average Speed,,,
new_its_aws,http://its-prod-app-1098184084.us-east-1.elb.amazonaws.com:80/video-assets/pbs/9-months-made-you/227816/images/mezzanine_791.jpg.focalcrop.1534x862.50.10.jpg,focalcrop,mezzanine_791.jpeg,0.083300114,0,HTTP Error 500: Internal Server Error,,,,,,,
new_its_aws,http://its-prod-app-1098184084.us-east-1.elb.amazonaws.com:80/video-assets/pbs/vicious/133828/images/mezzanine_482.jpg.resize.148x84.passport.jpg,resize,mezzanine_482.jpeg,0.083377838,0,HTTP Error 500: Internal Server Error,,,,,,,
new_its_aws,http://its-prod-app-1098184084.us-east-1.elb.amazonaws.com:80/video-assets/xa7dVWL-asset-mezzanine-16x9-ITvaUDM.jpg.focalcrop.767x431.50.10.jpg,focalcrop,xa7dVWL-asset-mezzanine-16x9-ITvaUDM.jpeg,0.084733963,0,HTTP Error 500: Internal Server Error,,,,,,,
new_its_aws,http://its-prod-app-1098184084.us-east-1.elb.amazonaws.com:80/video-assets/WCVE/virginia-home-grown/265261/images/mezzanine_487.jpg.focalcrop.1920x1075.50.10.jpg,focalcrop,mezzanine_487.jpeg,0.085361958,0,HTTP Error 500: Internal Server Error,,,,,,,
new_its_aws,http://its-prod-app-1098184084.us-east-1.elb.amazonaws.com:80/contentchannels/1048/rXrFQvB4AzE4IGWZ9NXacA.png.focalcrop.432x648.50.50.png,focalcrop,rXrFQvB4AzE4IGWZ9NXacA.png,0.087348938,0,HTTP Error 500: Internal Server Error,,,,,,,
new_its_aws,http://its-prod-app-1098184084.us-east-1.elb.amazonaws.com:80/video-assets/pbs/masterpiece/266870/images/mezzanine_414.jpg.resize.405x228.passport.jpg,resize,mezzanine_414.jpeg,0.087610245,0,HTTP Error 500: Internal Server Error,,,,,,,
new_its_aws,http://its-prod-app-1098184084.us-east-1.elb.amazonaws.com:80/contentchannels/2935/vlOS3pUgEOefaPH3nCFA.jpg.focalcrop.432x648.50.50.jpg,focalcrop,vlOS3pUgEOefaPH3nCFA.jpeg,0.091835022,0,HTTP Error 500: Internal Server Error,,,,,,,
new_its_aws,http://its-prod-app-1098184084.us-east-1.elb.amazonaws.com:80/video-assets/pbs/vicious/184631/images/mezzanine_309.jpeg.resize.148x84.passport.jpeg,resize,mezzanine_309.jpeg,0.092108965,0,HTTP Error 500: Internal Server Error,,,,,,,
new_its_aws,http://its-prod-app-1098184084.us-east-1.elb.amazonaws.com:80/contentchannels/3467/qgbIAeK9dZYYpzMNyXNAiw.jpg.focalcrop.288x432.50.50.jpg,focalcrop,qgbIAeK9dZYYpzMNyXNAiw.jpeg,0.09316206,0,HTTP Error 500: Internal Server Error,,,,,,,
new_its_aws,http://its-prod-app-1098184084.us-east-1.elb.amazonaws.com:80/video-assets/KNME/knme-specials/220673/images/mezzanine_498.png.resize.405x228.passport.png,resize,mezzanine_498.png,0.094783068,0,HTTP Error 500: Internal Server Error,,,,,,,
