ITS Version,URL,Query,Image,Run Time,Result Size (bytes),Error
new_its_aws,http://its-prod-app-1098184084.us-east-1.elb.amazonaws.com:80/video-assets/WLJT/gospel-showcase/192755/images/mezzanine_435.png.resize.188x106.png,resize,mezzanine_435.png,1.9654309749603271,37839,
new_its_aws,http://its-prod-app-1098184084.us-east-1.elb.amazonaws.com:80/video-assets/pbs-kids/cyberchase/196094/images/kids-mezzannine-16x9_641.jpg.resize.508x279.jpg,resize,kids-mezzannine-16x9_641.jpeg,1.112588882446289,21878,
new_its_aws,http://its-prod-app-1098184084.us-east-1.elb.amazonaws.com:80/video-assets/pbs-kids/wordgirl/139583/images/kids-mezzannine-16x9_234.jpg.resize.160x90.png,resize,kids-mezzannine-16x9_234.png,0.3955042362213135,27557,
new_its_aws,http://its-prod-app-1098184084.us-east-1.elb.amazonaws.com:80/video-assets/pbs/old-house/124487/images/mezzanine_575.jpg,none,mezzanine_575.jpeg,0.1170339584350586,0,HTTP Error 404: Not Found
new_its_aws,http://its-prod-app-1098184084.us-east-1.elb.amazonaws.com:80/video-assets/KLRU/overheard-evan-smith/223802/images/mezzanine_261.jpg.fit.980x551.jpg,fit,mezzanine_261.jpeg,0.5674698352813721,40653,
new_its_aws,http://its-prod-app-1098184084.us-east-1.elb.amazonaws.com:80/video-assets/bOHOBQM-asset-mezzanine-16x9-ZouiWyT.jpg.fit.373x210.jpg,fit,bOHOBQM-asset-mezzanine-16x9-ZouiWyT.jpeg,0.4226810932159424,12601,
new_its_aws,http://its-prod-app-1098184084.us-east-1.elb.amazonaws.com:80/video-assets/pbs-kids/arthur/57588/images/Kids-Mezzannine-16x9_023.jpg.resize.353x198.png,resize,Kids-Mezzannine-16x9_023.png,0.22025299072265625,120847,
new_its_aws,http://its-prod-app-1098184084.us-east-1.elb.amazonaws.com:80/video-assets/pbs-kids/arthur/57416/images/Kids-Mezzannine-16x9_242.jpg.resize.353x198.png,resize,Kids-Mezzannine-16x9_242.png,0.24535083770751953,90040,
new_its_aws,http://its-prod-app-1098184084.us-east-1.elb.amazonaws.com:80/video-assets/OOH8bfN-asset-kids-mezzanine1-16x9-Tx2HHcq.jpg.resize.332x186.png,resize,OOH8bfN-asset-kids-mezzanine1-16x9-Tx2HHcq.png,0.5472550392150879,83331,
new_its_aws,http://its-prod-app-1098184084.us-east-1.elb.amazonaws.com:80/video-assets/WOSU/wosu-presents/193247/images/mezzanine_499.jpg.resize.281x158.jpg,resize,mezzanine_499.jpeg,2.042726993560791,8222,
